control_id,domain,source_standard,source_requirement,applicable,asset,test_method,authorization_needed,status,evidence_reference,finding_id,limitation,reviewer_notes
ASVS-V1.1,Encoding and Sanitization,OWASP ASVS 5.0,V1.1 Output Encoding,true,index.html & js/app.js,Static Code Review,false,CONTROLE VALIDADO,js/app.js:20-520,N/A,none,Uso seguro de textContent e propriedades sem concatenar HTML não sanitizado.
ASVS-V2.1,Validation and Business Logic,OWASP ASVS 5.0,V2.1 Input Validation,true,Modal de Busca / Copilot,Static Code Review,false,CONFIRMADO,js/app.js:471-510,AUD-ASP-002,none,Termo de busca enviado diretamente ao PageAgent sem limite de tamanho ou sanitização.
ASVS-V2.2,Validation and Business Logic,OWASP ASVS 5.0,V2.2 Form Handling & Anti-Spam,true,Formulário de Contato,Static Code Review,false,CONFIRMADO,index.html:266-283,AUD-ASP-004,none,Formulário sem honeypot e sem validação client-side antes da submissão.
ASVS-V3.1,Web Frontend Security,OWASP ASVS 5.0,V3.1 Content Security Policy,true,index.html,Static Configuration Review,false,CONFIRMADO,index.html:1-21,AUD-ASP-003,none,Ausência de meta tag CSP restringindo origens externas e scripts inline.
ASVS-V3.2,Web Frontend Security,OWASP ASVS 5.0,V3.2 Reverse Tabnabbing & Links,true,index.html,Static Code Review,false,CONTROLE VALIDADO,index.html:285,N/A,none,Link externo com target blank utiliza rel noopener noreferrer.
ASVS-V4.1,API and Web Service,OWASP ASVS 5.0,V4.1 API Architecture,false,Arquitetura Estática,Static Code Review,false,NÃO APLICÁVEL,index.html,N/A,Sem backend de API no repositório,Não há endpoints REST/GraphQL locais sob o repositório.
ASVS-V5.1,File Handling,OWASP ASVS 5.0,V5.1 Local Script Integrity,true,copy_assets.bat,Static Code Review,false,CONFIRMADO,copy_assets.bat:7-8,AUD-ASP-005,none,Script no repositório expõe caminhos absolutos locais do sistema de arquivos.
ASVS-V6.1,Authentication,OWASP ASVS 5.0,V6.1 User Authentication,false,Páginas Públicas,Static Code Review,false,NÃO APLICÁVEL,index.html,N/A,Sem autenticação local,Site puramente informativo e institucional sem login no cliente.
ASVS-V7.1,Session Management,OWASP ASVS 5.0,V7.1 Session Tokens & Cookies,false,Páginas Públicas,Static Code Review,false,NÃO APLICÁVEL,index.html,N/A,Sem cookies/sessões,Nenhum cookie de sessão manipulado no código.
ASVS-V8.1,Authorization,OWASP ASVS 5.0,V8.1 Access Control,false,Páginas Públicas,Static Code Review,false,NÃO APLICÁVEL,index.html,N/A,Sem perfis restritos,Todo o conteúdo do site é de acesso público.
ASVS-V9.1,Self-contained Tokens,OWASP ASVS 5.0,V9.1 JWT Verification,false,Nenhum Token JWT,Static Code Review,false,NÃO APLICÁVEL,js/,N/A,Sem JWT,Nenhum token JWT utilizado no projeto.
ASVS-V10.1,OAuth and OIDC,OWASP ASVS 5.0,V10.1 OAuth Client Security,false,Sem SSO/OAuth,Static Code Review,false,NÃO APLICÁVEL,index.html,N/A,Sem OAuth,Nenhum fluxo de autenticação de terceiros.
ASVS-V11.1,Cryptography,OWASP ASVS 5.0,V11.1 Cryptographic Storage,false,Sem Dados Criptografados,Static Code Review,false,NÃO APLICÁVEL,js/,N/A,Sem crypto storage,Nenhum segredo ou dado cifrado localmente.
ASVS-V12.1,Secure Communication,OWASP ASVS 5.0,V12.1 TLS & Mixed Content,true,index.html,Static Configuration Review,false,CONTROLE VALIDADO,index.html:8-19,N/A,none,Todas as URLs de CDNs e fontes utilizam estritamente HTTPS.
ASVS-V13.1,Configuration,OWASP ASVS 5.0,V13.1 Version Control & Gitignore,true,Repositório Git,Static Configuration Review,false,CONFIRMADO,.gitignore ausente,AUD-ASP-006,none,Ausência de .gitignore permitindo commit acidental de arquivos locais.
ASVS-V14.1,Data Protection,OWASP ASVS 5.0,V14.1 Sensitive Data Minimization,true,Formulário de Contato,Static Code Review,false,CONTROLE VALIDADO,index.html:266-280,N/A,none,Formulário solicita apenas dados de contato básicos (nome, e-mail, mensagem).
ASVS-V15.1,Secure Coding and Architecture,OWASP ASVS 5.0,V15.1 Subresource Integrity,true,index.html,Static Configuration Review,false,CONFIRMADO,index.html:311-348,AUD-ASP-001,none,Tags script de CDNs externas não possuem atributo integrity SHA.
ASVS-V16.1,Security Logging,OWASP ASVS 5.0,V16.1 Error Handling & Logging,true,js/app.js,Static Code Review,false,CONTROLE VALIDADO,js/app.js:497,N/A,none,Erros tratados com console.warn sem expor dados confidenciais.
ASVS-V17.1,WebRTC,OWASP ASVS 5.0,V17.1 WebRTC Security,false,Sem WebRTC,Static Code Review,false,NÃO APLICÁVEL,index.html,N/A,Sem WebRTC,Nenhum fluxo de comunicação em tempo real peer-to-peer.
OWASP-A01,Broken Access Control,OWASP Top 10:2025,A01 Broken Access Control,false,Aplicação Estática,Static Code Review,false,NÃO APLICÁVEL,index.html,N/A,Sem backend de controle,Sem funções de backoffice ou tenants.
OWASP-A02,Security Misconfiguration,OWASP Top 10:2025,A02 Security Misconfiguration,true,Headers e Meta Tags,Static Configuration Review,false,CONFIRMADO,index.html:1-20,AUD-ASP-003,none,Ausência de Content-Security-Policy e Referrer-Policy explícitos.
OWASP-A03,Software Supply Chain,OWASP Top 10:2025,A03 Software Supply Chain Failures,true,CDNs Externas,Static Configuration Review,false,CONFIRMADO,index.html:311-348,AUD-ASP-001,none,Dependências de script externas sem hash de verificação SRI.
OWASP-A04,Cryptographic Failures,OWASP Top 10:2025,A04 Cryptographic Failures,true,Transporte de Assets,Static Code Review,false,CONTROLE VALIDADO,index.html:8-19,N/A,none,Tráfego exclusivamente por túneis HTTPS seguros.
OWASP-A05,Injection,OWASP Top 10:2025,A05 Injection,true,PageAgent & DOM,Static Code Review,false,CONFIRMADO,js/app.js:494-496,AUD-ASP-002,none,Entrada de busca encaminhada ao agente sem sanitização de caracteres especiais.
OWASP-A06,Insecure Design,OWASP Top 10:2025,A06 Insecure Design,true,Formulário de Contato,Static Code Review,false,CONFIRMADO,index.html:266-283,AUD-ASP-004,none,Falta de mecanismo defensivo de submissão e honeypot contra bots.
OWASP-A07,Authentication Failures,OWASP Top 10:2025,A07 Authentication Failures,false,Sem Login,Static Code Review,false,NÃO APLICÁVEL,index.html,N/A,Sem auth,Sem autenticação client-side.
OWASP-A08,Software/Data Integrity,OWASP Top 10:2025,A08 Software/Data Integrity Failures,true,Scripts Externos,Static Configuration Review,false,CONFIRMADO,index.html:311-348,AUD-ASP-001,none,Inclusão de scripts remotos sem garantia de imutabilidade via SRI.
OWASP-A09,Logging & Alerting,OWASP Top 10:2025,A09 Security Logging Failures,false,Sem Servidor Central,Static Code Review,false,NÃO TESTADO,js/,N/A,Ambiente estático,Logs centralizados dependem do provedor de hosting (Cloudflare/Vercel/GitHub Pages).
OWASP-A10,Mishandling of Conditions,OWASP Top 10:2025,A10 Mishandling of Exceptional Conditions,true,js/app.js,Static Code Review,false,CONTROLE VALIDADO,js/app.js:493-498,N/A,none,Blocos try/catch protegem inicializações 3D e falhas de runtime.
API1-10,API Security Top 10,OWASP API Security 2023,API1 a API10,false,Sem APIs Locais,Static Code Review,false,NÃO APLICÁVEL,js/,N/A,Sem backend API,Repositório não define nem implementa endpoints de API próprios.
